Funding Cycle,County Name,Visit Type,Item,Variable,Variable Detail,Frequency Count,Percent of Total Frequency,Date Closed,Location
2014-2019,Albany,Initial visits,Housing information,Renter/owner,"Rent, private",591,45.7,10/27/2017,"(42.678066, -73.814233)"
2014-2019,NYC-Bronx,Revisits,Housing condition,Deteriorated paint outside,Unknown,1,100,10/27/2017,"(40.85589, -73.868294)"
2014-2019,Broome,Initial visits,Housing information,Owner occupied,No,1,0.6,10/27/2017,"(42.122015, -75.933191)"
2009-2014,Monroe,Initial visits,Housing information,Units in building,2 units,568,21.7,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Rockland,Revisits,Housing condition,Residents practice exit drills,Improved,1,1,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Erie,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,Yes,54,1.9,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Albany,Revisits,Housing condition,Smell of scented products,Improved,1,0.5,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Orange,Revisits,Housing condition,Smoking limited to certain rooms,Not applicable,395,,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Schenectady,Initial visits,Respondent demographics,High school diploma or equivalent,Unknown,8,1,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Monroe,Initial visits,Housing condition,Deteriorated paint outside,Not applicable,160,,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Niagara,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,Unknown,14,1.1,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Rensselaer,Revisits,Housing condition,"Cockroaches, evidence or reported",No,243,96.4,10/27/2017,"(42.70098, -73.628669)"
2009-2014,Tompkins,Initial visits,Housing condition,Deteriorated paint inside,Yes,86,10.7,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Columbia,Revisits,Housing condition,Smoking allowed in home,Not applicable,48,,10/27/2017,"(42.276913, -73.682168)"
2014-2019,Schenectady,Revisits,Housing condition,Effective housecleaning,Unknown,2,0.6,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Tompkins,Revisits,Housing condition,"Mold or mildew, observed or smell",Improved,69,16.4,10/27/2017,"(42.461024, -76.478784)"
2009-2014,Tompkins,Initial visits,Housing information,Age of building,1950-1978,360,22.2,10/27/2017,"(42.461024, -76.478784)"
2006-2009,Monroe,Revisits,Housing condition,"Rats, evidence or reported",No,223,96.5,10/27/2017,"(43.161748, -77.620143)"
2006-2009,Albany,Revisits,Housing condition,Functional smoke detector on every floor,Improved,2,1,10/27/2017,"(42.678066, -73.814233)"
2009-2014,Schenectady,Revisits,Housing condition,Wall-to-wall carpeting or large rugs,No,98,51,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Erie,Initial visits,Housing condition,"Walls, ceilings, stairs in good repair",Yes,2652,95.4,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Westchester,Revisits,Housing condition,Effective housecleaning,No,3,11.5,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Clinton,Revisits,Housing condition,Significant clutter,Unknown,7,1.3,10/27/2017,"(44.731944, -73.548883)"
2006-2009,Orange,Revisits,Housing condition,Smoking limited to certain rooms,No,45,48.9,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Erie,Initial visits,Housing condition,Humidifier or vaporizer used,Yes,15,0.4,10/27/2017,"(42.888143, -78.795544)"
2014-2019,NYC-Kings,Initial visits,Housing condition,Plumbing leaks,No,81,75.7,10/27/2017,"(40.65642, -73.950691)"
2006-2009,Erie,Revisits,Housing condition,Working carbon monoxide detector,Improved,21,2.7,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Onondaga,Initial visits,Respondent demographics,Race: Native American,Native American,4,0.1,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Schenectady,Initial visits,Housing condition,Deteriorated paint inside,No,164,62.6,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Rensselaer,Revisits,Housing condition,Smoker in home,No,202,80.2,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Rensselaer,Revisits,Housing condition,Smoker in home,Improved,5,3.3,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Cortland,Initial visits,Housing condition,"Rats, evidence or reported",No,878,98,10/27/2017,"(42.597101, -76.143291)"
2014-2019,Tompkins,Revisits,Housing condition,Deteriorated paint inside,Not applicable,236,,10/27/2017,"(42.461024, -76.478784)"
2006-2009,Onondaga,Revisits,Housing condition,"Mice, evidence or reported",Improved,2,0.7,10/27/2017,"(43.065629, -76.168033)"
2014-2019,All counties,Initial visits,Housing condition,Deteriorated paint inside,Yes,3476,16.7,10/27/2017,
2009-2014,Orange,Revisits,Housing condition,Exits function properly,Yes,442,96.3,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Rockland,Initial visits,Housing condition,Functional fire extinguisher,Unknown,19,1.1,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Rockland,Initial visits,Housing condition,Smoker in home,Unknown,9,1,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Tompkins,Revisits,Housing condition,Electrical hazards,Yes,18,3.7,10/27/2017,"(42.461024, -76.478784)"
2009-2014,Erie,Revisits,Housing condition,Improperly stored flammables,Yes,1,0.1,10/27/2017,"(42.888143, -78.795544)"
2014-2019,NYC-Kings,Revisits,Housing condition,Furnace filter dirty or missing,Unknown,31,100,10/27/2017,"(40.65642, -73.950691)"
2006-2009,Orange,Revisits,Housing condition,Improperly stored garbage inside,Yes,11,4.7,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Erie,Initial visits,Housing condition,Smoker in home,No,2569,64.2,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Erie,Initial visits,Housing condition,Electrical hazards,Yes,19,0.7,10/27/2017,"(42.888143, -78.795544)"
2014-2019,NYC-Queens,Revisits,Housing condition,Smell of scented products,No,4,100,10/27/2017,"(40.749338, -73.789673)"
2006-2009,Clinton,Initial visits,Housing information,Age of building,1950-1978,213,23.9,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Cortland,Initial visits,Respondent demographics,Race: White,White,876,97.8,10/27/2017,"(42.597101, -76.143291)"
2006-2009,Niagara,Initial visits,Housing condition,Functional fire extinguisher,Unknown,177,7.3,10/27/2017,"(43.134634, -78.856419)"
2014-2019,NYC-Kings,Revisits,Housing condition,Food/harborage for cockroaches,Yes,13,41.9,10/27/2017,"(40.65642, -73.950691)"
2006-2009,Rensselaer,Initial visits,Housing condition,Electrical hazards,No,503,94.4,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Clinton,Initial visits,Respondent demographics,Race: White,White,1571,96.9,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Rensselaer,Initial visits,Housing condition,"Mice, evidence or reported",Yes,297,21.8,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Niagara,Revisits,Housing condition,Working carbon monoxide detector,Yes,191,30.4,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Niagara,Initial visits,Housing condition,Deteriorated paint outside,No,1697,84.7,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Orange,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,No,398,14.9,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Schenectady,Revisits,Housing condition,Effective housecleaning,No,24,12.5,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Oneida,Initial visits,Housing condition,"Mold or mildew, observed or smell",Unknown,7,0.6,10/27/2017,"(43.149482, -75.361773)"
2006-2009,Albany,Initial visits,Housing information,Units in building,3 units,98,14,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Schenectady,Initial visits,Housing condition,Smoking allowed in home,Yes,330,83.3,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Schenectady,Revisits,Housing condition,Effective housecleaning,No,31,16.3,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Schenectady,Initial visits,Housing information,Owner occupied,Unknown,1,0.5,10/27/2017,"(42.809233, -73.946838)"
2009-2014,All counties,Revisits,Housing condition,Chemical smell indoors,Improved,37,0.6,10/27/2017,
2006-2009,Clinton,Initial visits,Housing information,Age of building,Unknown,150,16.9,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Schenectady,Revisits,Housing condition,Electrical hazards,Unknown,5,2.6,10/27/2017,"(42.809233, -73.946838)"
2014-2019,All counties,Initial visits,Housing condition,Improperly stored garbage inside,Unknown,853,3.1,10/27/2017,
2014-2019,Schenectady,Revisits,Housing condition,Smoking limited to certain rooms,Improved,2,3.1,10/27/2017,"(42.809233, -73.946838)"
2009-2014,Rockland,Initial visits,Housing condition,Chemical smell indoors,No,1794,99.2,10/27/2017,"(41.127287, -74.017033)"
2006-2009,Orange,Initial visits,Housing condition,Deteriorated paint outside,Unknown,8,1.3,10/27/2017,"(41.422459, -74.241929)"
2006-2009,Erie,Initial visits,Housing condition,Deteriorated paint outside,No,1804,77.9,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Erie,Initial visits,Housing condition,Effective housecleaning,Unknown,253,9.1,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Niagara,Initial visits,Respondent demographics,Receives public assistance,Yes,1190,34.7,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Westchester,Initial visits,Respondent demographics,High school diploma or equivalent,Yes,81,43.8,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Tompkins,Initial visits,Housing condition,Functional fire extinguisher,Unknown,35,2.2,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Rockland,Initial visits,Housing information,Owner occupied,Unknown,21,2.1,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Erie,Initial visits,Housing condition,"Mice, evidence or reported",Yes,88,2.2,10/27/2017,"(42.888143, -78.795544)"
2009-2014,All counties,Initial visits,Housing condition,Improperly stored garbage inside,No,23083,95.3,10/27/2017,
2009-2014,Schenectady,Revisits,Housing condition,Furnace filter dirty or missing,Unknown,29,15.1,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Cortland,Initial visits,Housing condition,Smell of scented products,Yes,18,2,10/27/2017,"(42.597101, -76.143291)"
2006-2009,Oneida,Revisits,Housing condition,"Cockroaches, evidence or reported",Improved,43,20.3,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Rensselaer,Initial visits,Housing information,Age of building,Pre-1950,622,45.6,10/27/2017,"(42.70098, -73.628669)"
2009-2014,Westchester,Revisits,Housing condition,Functional fire extinguisher,Unknown,5,2.1,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Rockland,Revisits,Housing condition,Every room has ventilation,Improved,1,0.4,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Niagara,Revisits,Housing condition,Functional smoke detectors in common areas,No,43,2.9,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Westchester,Initial visits,Housing information,Owner occupied,Unknown,61,54,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Tioga,Revisits,Housing condition,Functional smoke detector on every floor,Improved,11,21.6,10/27/2017,"(42.120252, -76.29595)"
2009-2014,Westchester,Revisits,Housing condition,Functional smoke detectors in common areas,Yes,224,94.5,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Clinton,Revisits,Housing condition,Significant clutter,No,180,90,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Clinton,Revisits,Housing condition,"Mice, evidence or reported",Unknown,1,0.2,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Monroe,Revisits,Housing condition,Roofing or structural leaks,Yes,19,3.1,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Rensselaer,Revisits,Housing condition,Smoking limited to certain rooms,Improved,3,6.8,10/27/2017,"(42.70098, -73.628669)"
2014-2019,NYC-Kings,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,No,29,27.1,10/27/2017,"(40.65642, -73.950691)"
2009-2014,Tompkins,Revisits,Housing condition,Smoking allowed in home,No,36,29.5,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Albany,Revisits,Housing condition,Smoking allowed in home,Unknown,18,39.1,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Cortland,Initial visits,Housing condition,Food/harborage for cockroaches,Yes,21,2.3,10/27/2017,"(42.597101, -76.143291)"
2014-2019,Onondaga,Initial visits,Housing condition,"Walls, ceilings, stairs in good repair",Yes,2693,91.4,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Onondaga,Initial visits,Housing condition,Food/harborage for cockroaches,Unknown,19,1.4,10/27/2017,"(43.065629, -76.168033)"
2009-2014,Westchester,Initial visits,Housing condition,Significant clutter,No,2009,98.2,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Albany,Initial visits,Housing condition,"Walls, ceilings, stairs in good repair",Unknown,10,0.8,10/27/2017,"(42.678066, -73.814233)"
2014-2019,NYC-Bronx,Initial visits,Respondent demographics,Hispanic ethnicity,Yes,143,65.6,10/27/2017,"(40.85589, -73.868294)"
2014-2019,Erie,Revisits,Housing condition,Effective housecleaning,Yes,816,97.4,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Rensselaer,Revisits,Housing condition,Functional smoke detector on every floor,Improved,36,23.8,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Clinton,Initial visits,Housing condition,Functional fire extinguisher,Yes,334,37.5,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Broome,Initial visits,Housing condition,"Cockroaches, evidence or reported",Unknown,2,0.2,10/27/2017,"(42.122015, -75.933191)"
2014-2019,Tompkins,Revisits,Housing condition,Significant dust accumulation,Yes,31,7.4,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Monroe,Initial visits,Housing condition,Every room has ventilation,Yes,1841,97.8,10/27/2017,"(43.161748, -77.620143)"
2009-2014,Onondaga,Revisits,Housing condition,Smoker in home,No,387,48.1,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Westchester,Revisits,Housing condition,Smoker in home,Yes,15,13.9,10/27/2017,"(41.039278, -73.805386)"
2014-2019,NYC-Bronx,Revisits,Housing condition,Food/harborage for cockroaches,No,52,63.4,10/27/2017,"(40.85589, -73.868294)"
2006-2009,Westchester,Initial visits,Housing condition,Furnace filter dirty or missing,No,528,36.1,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Cayuga,Initial visits,Housing condition,Every room has ventilation,Yes,1025,86.9,10/27/2017,"(42.940095, -76.560755)"
2006-2009,Oneida,Initial visits,Housing information,Units in building,3 units,88,11.5,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Rockland,Initial visits,Housing condition,Deteriorated paint inside,Yes,31,2.9,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Erie,Revisits,Housing condition,Malfunctioning appliance that could cause indoor a,Yes,4,0.4,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Clinton,Revisits,Housing condition,Effective housecleaning,Improved,3,1.5,10/27/2017,"(44.731944, -73.548883)"
2014-2019,NYC-Kings,Initial visits,Housing condition,Electrical hazards,Yes,3,2.8,10/27/2017,"(40.65642, -73.950691)"
2014-2019,Clinton,Initial visits,Housing condition,Functional smoke detectors in common areas,Yes,34,2.1,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Oneida,Initial visits,Respondent demographics,Race: Black,Black/African American,8,61.5,10/27/2017,"(43.149482, -75.361773)"
2009-2014,Broome,Initial visits,Housing condition,Effective housecleaning,No,1,100,10/27/2017,"(42.122015, -75.933191)"
2014-2019,Broome,Revisits,Housing condition,Working carbon monoxide detector,Improved,89,40.3,10/27/2017,"(42.122015, -75.933191)"
2014-2019,NYC-Kings,Initial visits,Respondent demographics,High school diploma or equivalent,Unknown,9,8.4,10/27/2017,"(40.65642, -73.950691)"
2006-2009,Onondaga,Revisits,Housing condition,Functional fire extinguisher,Yes,118,38.4,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Niagara,Initial visits,Housing condition,Improperly stored flammables,Yes,65,2.7,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Broome,Revisits,Housing condition,Chemical smell indoors,Unknown,221,100,10/27/2017,"(42.122015, -75.933191)"
2009-2014,Oneida,Initial visits,Respondent demographics,Hispanic ethnicity,Yes,1,7.7,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Onondaga,Revisits,Housing condition,"Rats, evidence or reported",Unknown,1,0.1,10/27/2017,"(43.065629, -76.168033)"
2014-2019,NYC-Queens,Initial visits,Housing information,Units in building,2 units,5,50,10/27/2017,"(40.749338, -73.789673)"
2006-2009,Schenectady,Initial visits,Respondent demographics,Hispanic ethnicity,Unknown,33,5.6,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Columbia,Initial visits,Housing information,Units in building,5 units,3,0.8,10/27/2017,"(42.276913, -73.682168)"
2014-2019,All counties,Revisits,Housing condition,Humidifier or vaporizer used,Yes,746,12.1,10/27/2017,
2014-2019,Cayuga,Initial visits,Housing condition,Smoking allowed in home,Not applicable,767,,10/27/2017,"(42.940095, -76.560755)"
2009-2014,Schenectady,Revisits,Housing condition,Furnace filter dirty or missing,No,154,80.2,10/27/2017,"(42.809233, -73.946838)"
2014-2019,NYC-Manhattan,Initial visits,Housing condition,Humidifier or vaporizer used,Yes,12,27.3,10/27/2017,"(40.726966, -74.005966)"
2009-2014,Tompkins,Revisits,Housing condition,Chemical smell indoors,Improved,2,0.4,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Cortland,Revisits,Housing condition,Improperly stored flammables,Improved,1,0.4,10/27/2017,"(42.597101, -76.143291)"
2014-2019,Erie,Revisits,Housing condition,Smoke detectors audible from sleeping spaces,Yes,824,98.3,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Rockland,Initial visits,Housing condition,Significant clutter,No,1711,94.6,10/27/2017,"(41.127287, -74.017033)"
2009-2014,Onondaga,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,Yes,43,1.5,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Tioga,Revisits,Housing condition,Improperly stored garbage inside,Improved,1,2,10/27/2017,"(42.120252, -76.29595)"
2014-2019,Westchester,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,No,159,85.9,10/27/2017,"(41.039278, -73.805386)"
